Название улицы,contains_kgiop_objects,density,WKT
"2-я Боковая улица","0","0","LINESTRING (3382058.9538091077 8331908.455886291, 3382073.0802524895 8331906.0072150435, 3382151.894451971 8331879.336605103, 3382235.0723754917 8331850.702757188, 3382372.4406271307 8331806.9139208915)"
"2-я Краснофлотская улица","1","0.0007733297765821757","MULTILINESTRING ((3391048.5815520165 8328626.861771432, 3391114.727593446 8328721.612556319, 3391191.5046462463 8328840.047233366, 3391254.08846397 8328930.103842059), (3391254.08846397 8328930.103842059, 3391304.0152555904 8329000.447549207, 3391351.0811362984 8329073.063244689, 3391406.7074858476 8329161.843682902, 3391533.1330315415 8329400.691732023, 3391565.582663108 8329462.946535997, 3391628.3000642206 8329581.0843525445, 3391681.1656903983 8329679.46414004, 3391709.2961257217 8329736.163778716))"
"2-я Новая улица","0","0","LINESTRING (3382332.777492561 8331403.16440181, 3382213.4652623283 8331126.201859108, 3382202.2219937583 8331107.386605855, 3382190.6892945124 8331087.755267256, 3382179.256782808 8331080.321841424)"
"2-я Советская улица","0","0","LINESTRING (3389240.663965941 8339295.31224369, 3389290.4571741726 8338860.328243697, 3389298.6502886955 8338836.701743413)"
"2-я Угловая улица","0","0","LINESTRING (3382097.6150682596 8332253.263373672, 3382091.7596630445 8332247.946642141, 3382058.9538091077 8331908.455886291, 3382044.5156711517 8331770.647695787, 3382033.2278747857 8331658.7617776785, 3382020.793487664 8331523.428847301, 3382024.066280693 8331508.737597671, 3382031.079408613 8331504.039051027)"
"2-я линия","0","0","MULTILINESTRING ((3384004.6849247855 8340475.7652045805, 3383999.5976240556 8340468.410667718, 3383995.5010667946 8340458.030402929, 3383995.144844424 8340446.214587364, 3384008.080169254 8340095.679963617), (3376950.591432197 8340598.032692248, 3376873.179858299 8340529.234895479, 3376686.0963220717 8340377.17526539, 3376410.625110155 8340125.207093539, 3376299.4948624964 8340031.524564693, 3376241.419484149 8339969.953573421, 3376207.110817087 8339923.5769103365, 3376152.3972873623 8339828.991504481, 3376099.542793133 8339714.951780748, 3376032.7844945043 8339596.2542872345, 3376007.125351877 8339545.1100576725, 3375980.8539520493 8339484.978499855, 3375882.803744559 8339293.501505375), (3375882.803744559 8339293.501505375, 3375870.358225488 8339248.652750488, 3375861.163235549 8339229.662222421), (3390741.384285223 8321978.554075256, 3390931.584767193 8321689.6079403935, 3391205.4863742897 8321274.515479516), (3375861.163235549 8339229.662222421, 3375850.521092229 8339204.223824138), (3375850.521092229 8339204.223824138, 3375828.7024720334 8339147.164402235, 3375828.112478732 8339142.196013683, 3375767.098265828 8338995.486526779, 3375741.227616168 8338931.230279151, 3375722.7040529 8338884.131467149, 3375698.7592304302 8338812.54538108, 3375679.2894514906 8338756.438449499, 3375673.36725458 8338737.979119308, 3375673.022164159 8338724.222973821), (3393712.1230082274 8328004.9589812895, 3393730.123369889 8327980.727771078, 3393738.416671953 8327942.716460379, 3393729.6001682817 8327751.538407291, 3393697.1616686652 8327725.852885031, 3393682.868246047 8327692.45081581, 3393477.4949174826 8327646.7905417), (3388805.694187615 8338159.16120811, 3388906.7388894088 8338186.56102551, 3388930.705975776 8338213.960944559, 3389387.6056937887 8338342.881025517), (3388276.4034047406 8338672.996461582, 3388297.5986357876 8338472.576146986, 3388295.906579528 8338334.424647083), (3393477.4949174826 8327646.7905417, 3393420.499338196 8327659.423703744, 3393182.97694069 8327632.084950958, 3393119.2131363647 8327617.842382726))"
"3-й Бадаевский проезд","0","0","MULTILINESTRING ((3384697.2368728574 8355000.285948987, 3384694.4761494854 8355025.93373984, 3384696.0680182036 8355050.939868508, 3384700.7211729195 8355076.366541086, 3384708.6025928673 8355101.394970149, 3384720.6473617707 8355121.953310036, 3384734.3173952405 8355138.816059996, 3384789.409411234 8355200.845641074, 3384867.065888012 8355290.870234516, 3385022.4345013117 8355466.695769936, 3385097.274594972 8355542.294292343, 3385120.27320177 8355570.400497865, 3385134.1770061706 8355593.704385662, 3385183.0685265264 8355678.3558793105, 3385202.671888855 8355713.500366374, 3385211.9225385403 8355725.495563369, 3385228.5202746177 8355741.186726876, 3385258.7657802654 8355770.599449066, 3385797.8860741775 8356275.569326843, 3386252.770909406 8356703.900105808, 3386264.9158658516 8356715.166479335, 3386274.199911384 8356722.382279667, 3386287.090708418 8356730.46132829, 3386333.844894551 8356753.680341927, 3386351.912047907 8356762.600535323, 3386468.285443582 8356820.106160012, 3386871.1061529666 8357018.479656473, 3386932.109233921 8357048.472989101, 3386966.495824627 8357064.786757, 3386977.060044304 8357073.928680697), (3386965.171122687 8357087.696926136, 3386953.749742931 8357079.61748639), (3386953.749742931 8357079.61748639, 3386922.0014241575 8357063.10446719, 3386884.653734996 8357044.643575268, 3386360.8732669153 8356785.731111855, 3386272.752758004 8356742.059758763, 3386260.040072155 8356733.980697443, 3386250.2328250157 8356726.410735683, 3386235.972798245 8356714.546717672, 3386220.477125127 8356699.716721981, 3385969.7411040645 8356463.613924354, 3385656.6884320555 8356161.562982855, 3385228.0416008066 8355762.986212514, 3385178.6602746905 8355717.107775968, 3385160.8380242153 8355699.955997634, 3385128.2436773106 8355672.247660601, 3385098.8108039447 8355652.79434556, 3385084.60643692 8355643.16729736, 3385043.0620029555 8355613.755083064, 3384919.786798851 8355498.652427891, 3384808.7901345817 8355391.8725851225, 3384592.908246086 8355189.847136476, 3384575.8763639946 8355175.883263912, 3384560.7591771446 8355168.182122048, 3384543.4712602245 8355163.446366384, 3384524.279780012 8355162.0300662145, 3384504.9324525124 8355164.530721384, 3384484.794756627 8355171.368800466, 3384469.076444528 8355182.190239535, 3384455.907348767 8355198.101545838, 3384437.8735912587 8355203.678256583), (3384703.3705768 8354919.979508222, 3384699.1738319974 8354951.225668999, 3384698.305539969 8354977.846971255, 3384697.2368728574 8355000.285948987))"
"3-й проезд","0","0","MULTILINESTRING ((3376919.733669349 8340826.251610449, 3376977.564144816 8340742.631627515), (3370979.0911195227 8327540.50086611, 3371159.8183128256 8327581.398289006, 3371187.5146021345 8327587.968354329, 3371375.8783125062 8327609.574650601))"
"3-я Новая улица","0","0","LINESTRING (3382093.3626637114 8331059.653868849, 3382116.5282497457 8331104.232353551, 3382127.3485042513 8331111.290822109, 3382180.4479013598 8331250.476376562, 3382196.867526251 8331307.1660147365, 3382246.3935677055 8331437.620009463)"
"3-я Советская улица","0","0","MULTILINESTRING ((3389396.6448364407 8339992.83283449, 3389433.6808310277 8339527.708733894, 3389440.2264170866 8339484.227686581, 3389449.0985805024 8339425.333248074), (3389449.0985805024 8339425.333248074, 3389506.6173613956 8338890.203730309, 3389506.973583766 8338870.441292157))"
"3-я линия","0","0","MULTILINESTRING ((3383851.231006726 8340558.3662117645, 3383843.661281353 8340544.341644089, 3383859.936190907 8339975.76171889), (3377076.260005354 8340953.759550823, 3377064.2152364496 8340943.709910383, 3377059.97396385 8340939.358751623, 3376919.733669349 8340826.251610449, 3376853.7212113086 8340770.88032197, 3376772.624962266 8340706.586538644, 3376755.0364827206 8340697.420689324, 3376738.2495035087 8340696.228025431, 3376720.905926843 8340693.86478458, 3376700.645779519 8340691.015644745, 3376659.246060893 8340656.207637537, 3376525.929838719 8340529.014036809, 3376406.2947819633 8340419.579378998, 3376156.1376222526 8340205.153991498, 3376110.3296517916 8340158.930444679, 3376077.401346415 8340124.654977088, 3376029.0218957155 8340068.206808893, 3375975.788915219 8339995.571283613, 3375928.7786942567 8339914.3457807265, 3375878.462284418 8339819.208399481, 3375841.960623387 8339749.291597462, 3375741.906665062 8339555.246126838, 3375664.161132692 8339405.768120463), (3391302.5458383127 8321338.243863895, 3391057.4537154334 8321706.460618386, 3390842.2620077804 8322033.167838309), (3388889.9853060446 8338293.754680308, 3389365.6089624073 8338430.24944994), (3388175.848508707 8338639.301975269, 3388191.956439025 8338438.286425402, 3388202.9548047152 8338300.135566907))"
"4-я Советская улица","0","0","LINESTRING (3389668.3423176203 8339458.987155426, 3389723.0113195484 8338930.413278913, 3389726.729390541 8338907.40482288)"
"4-я линия","0","0","MULTILINESTRING ((3383719.1504309005 8339873.070847117, 3383719.4287296277 8339889.479206691, 3383719.595708864 8339899.107816896, 3383700.203853567 8340462.469620764, 3383651.868930665 8340461.276994817, 3383600.305742529 8340456.506492945, 3383525.443384971 8340452.862361646, 3383484.388756766 8340451.669737249), (3376862.971860993 8341104.218659999, 3376849.0680565936 8341091.4741333565, 3376700.9129462964 8340965.112347906, 3376543.0953041995 8340850.657515619, 3376037.1593504925 8340398.509804615, 3376007.6262895856 8340379.582575736, 3375900.20298097 8340287.045247268, 3375833.8899603044 8340214.694673589, 3375796.6313267355 8340157.980800069, 3375763.4135906827 8340098.374281719, 3375677.6530549764 8339937.026112649, 3375671.8421775564 8339921.58934557, 3375566.6007309603 8339726.059755435, 3375458.7321443814 8339509.90996037), (3391399.082100728 8321401.620337564, 3391193.285758099 8321711.351206646), (3391183.8458652794 8321712.761106562, 3391169.9531928287 8321743.977240845, 3390945.1768770185 8322088.883545303), (3388076.6071826653 8338599.24857225, 3388090.6445704536 8338411.525980591, 3388105.2162917983 8338279.778570792), (3389342.1873415452 8338518.965779019, 3389187.6758883237 8338472.134552647))"
"5-я Советская улица","0","0","LINESTRING (3389857.351681038 8339492.376222934, 3389936.666818228 8338968.459088523, 3389936.1213527233 8338948.1664935965)"
