Название улицы,contains_kgiop_objects,density,WKT
"2-я линия","0","0","MULTILINESTRING ((30.3990313 59.73274679999999, 30.3989856 59.73271349999999, 30.3989488 59.73266649999998, 30.3989456 59.732613, 30.399061799999988 59.7310258), (30.3356633 59.73330039999997, 30.334967899999985 59.732988899999974, 30.3332873 59.732300399999986, 30.3308127 59.7311595, 30.3298144 59.73073529999997, 30.3292927 59.73045649999997, 30.3289845 59.73024649999998, 30.328493 59.72981819999998, 30.328018199999985 59.7293018, 30.3274185 59.72876429999997, 30.327188 59.7285327, 30.326952 59.72826039999999, 30.3260712 59.727393299999974), (30.3260712 59.727393299999974, 30.3259594 59.72719019999999, 30.3258768 59.72710419999998), (30.4595481 59.64888989999998, 30.4612567 59.64757829999997, 30.4637172 59.645694), (30.3258768 59.72710419999998, 30.3257812 59.726989), (30.3257812 59.726989, 30.3255852 59.7267306, 30.3255799 59.72670809999998, 30.325031799999987 59.7260437, 30.3247994 59.7257527, 30.324633 59.72553939999998, 30.3244179 59.7252152, 30.324243 59.7249611, 30.32418979999999 59.724877499999984, 30.3241867 59.72481519999997), (30.4862347 59.67623359999999, 30.4863964 59.676123699999984, 30.4864709 59.67595129999997, 30.486391699999988 59.67508419999997, 30.4861003 59.6749677, 30.48597189999999 59.67481619999998, 30.484127 59.67460909999997), (30.442159499999985 59.722256, 30.4430672 59.72238009999998, 30.4432825 59.722504199999975, 30.4473869 59.7230881), (30.4374048 59.72458319999998, 30.4375952 59.7236755, 30.43758 59.7230498), (30.484127 59.67460909999997, 30.483615 59.674666399999985, 30.481481299999988 59.67454239999998, 30.4809085 59.67447779999998))"
"3-й Бадаевский проезд","0","0","MULTILINESTRING ((30.4052526 59.79844649999997, 30.405227799999988 59.79856239999999, 30.405242099999985 59.798675399999986, 30.4052839 59.79879029999997, 30.4053547 59.798903399999986, 30.405462899999986 59.7989963, 30.4055857 59.79907249999999, 30.406080599999985 59.79935279999997, 30.4067782 59.7997596, 30.4081739 59.80055409999998, 30.40884619999999 59.80089569999998, 30.4090528 59.80102269999998, 30.4091777 59.801128, 30.4096169 59.80151049999997, 30.409793 59.801669299999986, 30.4098761 59.80172349999999, 30.4100252 59.80179439999996, 30.410296899999988 59.80192729999999, 30.4151399 59.80420889999997, 30.419226199999983 59.80614409999997, 30.419335299999986 59.806195, 30.419418699999987 59.806227599999986, 30.4195345 59.806264099999986, 30.4199545 59.806369, 30.4201168 59.8064093, 30.4211622 59.806669099999986, 30.4247808 59.807565299999986, 30.4253288 59.80770079999998, 30.425637699999985 59.80777449999997, 30.4257326 59.80781579999997), (30.4256258 59.807878, 30.4255232 59.80784149999998), (30.4255232 59.80784149999998, 30.425238 59.80776689999998, 30.4249025 59.8076835, 30.420197299999987 59.806513799999976, 30.4194057 59.8063165, 30.4192915 59.80628, 30.419203399999986 59.80624579999998, 30.41907529999999 59.806192199999984, 30.4189361 59.80612519999997, 30.4166837 59.8050585, 30.4138715 59.803693799999984, 30.410020899999985 59.801892899999984, 30.409577299999984 59.8016856, 30.4094172 59.801608099999974, 30.4091244 59.8014829, 30.40886 59.801395, 30.4087324 59.8013515, 30.4083592 59.80121859999998, 30.407251799999987 59.80069849999998, 30.4062547 59.800216, 30.4043154 59.79930309999997, 30.4041624 59.79924, 30.404026599999987 59.79920519999999, 30.4038713 59.79918379999999, 30.4036989 59.7991774, 30.4035251 59.79918869999999, 30.40334419999999 59.79921959999999, 30.403203 59.7992685, 30.4030847 59.799340399999984, 30.4029227 59.79936559999997), (30.405307699999987 59.7980836, 30.40527 59.798224799999986, 30.4052622 59.7983451, 30.4052526 59.79844649999997))"
"3-й проезд","0","0","MULTILINESTRING ((30.3353861 59.73433369999998, 30.335905599999986 59.733955099999974), (30.2820204 59.674127, 30.2836439 59.67431249999998, 30.2838927 59.67434229999998, 30.2855848 59.67444029999998))"
"3-я Новая улица","0","0","LINESTRING (30.381861599999983 59.69008519999998, 30.3820697 59.69028729999997, 30.3821669 59.690319299999985, 30.3826439 59.69095029999997, 30.382791399999988 59.69120729999998, 30.3832363 59.69179869999997)"
"3-я Советская улица","0","0","MULTILINESTRING ((30.4474681 59.730560099999984, 30.4478008 59.728453899999984, 30.4478596 59.728257, 30.447939299999987 59.727990299999966), (30.447939299999987 59.727990299999966, 30.448456 59.72556689999996, 30.4484592 59.7254774))"
"3-я линия","0","0","MULTILINESTRING ((30.39765279999999 59.73312079999999, 30.3975848 59.73305729999998, 30.397731 59.73048279999996), (30.3367922 59.734911, 30.336684 59.73486549999998, 30.3366459 59.73484579999999, 30.3353861 59.73433369999998, 30.334793099999988 59.734083, 30.3340646 59.73379189999997, 30.3339066 59.7337504, 30.3337558 59.733745, 30.3336 59.73373429999999, 30.333418 59.73372139999998, 30.3330461 59.733563799999985, 30.33184849999999 59.73298789999997, 30.3307738 59.7324924, 30.3285266 59.731521499999985, 30.3281151 59.73131219999998, 30.3278193 59.731157, 30.327384699999985 59.73090139999998, 30.3269065 59.73057249999997, 30.3264842 59.73020469999999, 30.3260322 59.729773899999984, 30.3257043 59.72945729999998, 30.3248055 59.7285786, 30.3241071 59.72790169999997), (30.4645891 59.645983299999976, 30.4623874 59.6476548, 30.460454299999988 59.6491378), (30.4429167 59.72286559999998, 30.447189299999987 59.723483799999975), (30.436501499999984 59.724430599999984, 30.4366462 59.72352019999998, 30.436745 59.7228945))"
"4-я Советская улица","0","0","LINESTRING (30.4499088 59.72814269999998, 30.450399899999987 59.725749, 30.4504333 59.72564479999997)"
"4-я линия","0","0","MULTILINESTRING ((30.3964663 59.730017799999985, 30.3964688 59.7300921, 30.3964703 59.7301357, 30.396296099999986 59.73268659999997, 30.3958619 59.7326812, 30.3953987 59.7326596, 30.3947262 59.732643099999976, 30.394357399999983 59.7326377), (30.33487619999999 59.73559219999997, 30.3347513 59.735534499999986, 30.333420399999987 59.73496239999998, 30.3320027 59.734444199999984, 30.327457799999987 59.732397, 30.3271925 59.732311299999985, 30.3262275 59.73189229999998, 30.3256318 59.73156469999997, 30.3252971 59.73130789999997, 30.324998699999984 59.731038, 30.3242283 59.730307399999965, 30.3241761 59.73023749999997, 30.3232307 59.7293521, 30.3222617 59.7283733), (30.46545629999999 59.646271, 30.4636076 59.647677), (30.46352279999999 59.6476834, 30.463398 59.64782509999998, 30.461378799999984 59.64939069999997), (30.43561 59.72424919999999, 30.43573609999999 59.723399, 30.435867 59.7228023), (30.4469789 59.72388559999999, 30.4455909 59.72367349999997))"
"5-я Советская улица","0","0","LINESTRING (30.4516067 59.72829389999997, 30.4523192 59.72592129999998, 30.4523143 59.725829399999974)"
"5-я линия","0","0","MULTILINESTRING ((30.333376 59.7361256, 30.3332677 59.7360725, 30.3332255 59.73605959999998, 30.3329179 59.735926299999974, 30.3308297 59.73505239999998, 30.3264578 59.73317749999997, 30.3263065 59.7330496, 30.326222 59.73293479999999, 30.3262945 59.732864799999966, 30.3210853 59.7302091, 30.3208955 59.73009749999998, 30.3207526 59.73000079999997, 30.319693399999988 59.72904519999997), (30.462445199999987 59.64469269999998, 30.4668025 59.64615509999999), (30.4469789 59.72388559999999, 30.45058249999999 59.72442129999999), (30.4350265 59.72406719999998, 30.4352598 59.7231101, 30.4353265 59.72257879999999, 30.4353627 59.72250529999999, 30.4354332 59.72240609999998))"
"6-я Советская улица","0","0","LINESTRING (30.4534146 59.728510099999966, 30.4542913 59.72609659999998, 30.454309599999984 59.7260109)"
