type,id,tags,tags_highway,tags_lanes,tags_lit,tags_maxspeed,tags_name,tags_oneway,tags_surface,tags_width,tags_foot,tags_parking:lane:both,tags_name:ru,tags_sidewalk,tags_destination,tags_destination:ref,tags_int_ref,tags_source:maxspeed,tags_official_name,tags_ref,tags_snowplowing,tags_surface:grade,tags_side_road,tags_motor_vehicle,tags_bridge,tags_layer,tags_note,tags_name:en,tags_old_name,tags_smoothness,tags_access,tags_addr:postcode,tags_addr:suburb,tags_junction,tags_postal_code,tags_vehicle,tags_living_street,tags_historic,tags_source,tags_lane_markings,tags_incline,tags_maxweight,tags_comment,tags_name:de,tags_name:fi,tags_short_name,tags_placement,tags_turn:lanes,tags_name:it,tags_old_ref,tags_embankment,tags_start_date,tags_psv,tags_destination:symbol,tags_material,tags_wikidata,tags_wikipedia,tags_tunnel,tags_service,tags_maxheight,tags_name:zh,tags_parking:lane:left,tags_parking:lane:right,tags_check_date:surface,tags_hgv,tags_covered,tags_check_date:lit,tags_fixme,tags_bridge:structure,tags_ref:okn,tags_maxaxleload,tags_horse,tags_alt_name,tags_construction,tags_source:name,tags_proposed,tags_description,tags_maxspeed:backward,tags_maxspeed:forward,tags_tracktype,tags_name:be,tags_check_date,tags_motorcar,tags_parking:lane:right:capacity,tags_parking:lane:right:parallel,tags_oneway:bicycle,tags_oneway:psv,tags_noname,tags_old_name:2:ru,tags_old_name:en,tags_old_name:ru,tags_short_name:ru,tags_source:maxheight,tags_bicycle,tags_bus,tags_date_off,tags_date_on,tags_lanes:backward,tags_turn:lanes:backward,tags_toll,tags_motorway,tags_traffic_sign,tags_lanes:forward,tags_turn:backward,tags_waterway,tags_proposed:oneway,tags_turn,tags_footway,tags_admin_level,tags_boundary,WKT
"way","18821520","","tertiary","2","yes","RU:urban","Софийский бульвар","yes","asphalt","12","no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.428224 59.7226558, 30.428076 59.7225399, 30.4278957 59.7224004, 30.427568 59.7221463)"
"way","18821571","","secondary","2","yes","RU:urban","Новодеревенская улица","yes","asphalt",,"no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4297251 59.7213299, 30.4296311 59.7213081, 30.429146 59.7212144, 30.4282485 59.72104740000001, 30.4277884 59.7209601, 30.4260511 59.7206315, 30.4256428 59.7205557, 30.4254378 59.7205185)"
"way","18822071","","residential","1","yes","RU:urban","Железнодорожная улица","no","asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4318472 59.7128201, 30.4318695 59.7129048, 30.4319005 59.7129374, 30.4321964 59.71318810000001, 30.4327948 59.7136869, 30.4329077 59.7137826, 30.4331394 59.7139779, 30.4331663 59.71401609999999, 30.4331761 59.7140611, 30.4331664 59.7141062, 30.4331154 59.7142267, 30.4330238 59.7144371, 30.4326553 59.71523410000001, 30.4322783 59.7160364, 30.4319592 59.7167104, 30.4318247 59.7170035, 30.4314261 59.717874, 30.4313566 59.7180169)"
"way","23058611","","residential",,"yes",,"улица Горького",,"asphalt",,,,,,,,,,,,,,,,,,,"Gorky street","2-ая улица под Дубками",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4608027 59.684976, 30.4597356 59.6841593, 30.4590684 59.6836487, 30.4590215 59.68361269999998)"
"way","23058612","","residential",,,,"Артиллерийская улица",,"asphalt",,,,,,,,,,,,,,,,,,,,,"intermediate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4494215 59.6787543, 30.448993 59.678462, 30.4482485 59.6779775, 30.4478506 59.6777255, 30.4477335 59.677652, 30.4462414 59.6766925, 30.4459162 59.67646879999999, 30.4451266 59.67595639999998, 30.4448023 59.6757555, 30.4444865 59.6755697, 30.4443303 59.675585199999986, 30.4438475 59.6757548, 30.4436688 59.6757577, 30.4435125 59.6757391, 30.4419364 59.67523089999999, 30.4418366 59.675154, 30.4416506 59.67469)"
"way","23232478","","secondary","2","yes","RU:urban","площадь Египетские Ворота","yes","asphalt",,"no",,"площадь Египетские Ворота",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3941558 59.7292663, 30.3942119 59.7290734, 30.3942698 59.7289793, 30.3945388 59.7286752)"
"way","23232484","","secondary","2","yes","RU:urban","Петербургское шоссе","yes","asphalt",,"no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3940983 59.7337931, 30.3941202 59.7335985, 30.3941465 59.7333552, 30.3942255 59.732624, 30.394416 59.7305991, 30.3944296 59.73045169999999, 30.3944624 59.730174799999986, 30.3944211 59.7300396, 30.3943511 59.7299097)"
"way","23233378","","residential","2","yes","RU:urban","бульвар Алексея Толстого","yes","asphalt","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4101583 59.73357989999998, 30.4102701 59.7335443, 30.4143489 59.73219910000002, 30.414387 59.7321866, 30.4167396 59.7314114, 30.4191432 59.7306194, 30.4209297 59.730030699999986, 30.4213921 59.7298784, 30.4215598 59.7298231)"
"way","23233381","","residential","2","yes","RU:urban","улица Вячеслава Шишкова",,"asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4060939 59.7379564, 30.4061152 59.737808, 30.4062241 59.7367245, 30.4062552 59.7363577, 30.4063278 59.735555, 30.4063375 59.7354744, 30.4063748 59.7351645, 30.4064012 59.7349446, 30.4064386 59.73483229999999)"
"way","23240550","","service",,,,,,"concrete",,,,,,,,,,,,,,,,,,,,,"intermediate","private",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3926309 59.7251766, 30.3927859 59.7253034, 30.3931592 59.7255831, 30.3933974 59.72578319999999, 30.3935843 59.7259797, 30.3935762 59.7260586, 30.3936566 59.72623969999999)"
